"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"93eb4290d8b8208bfe15bf66625ddc97","Base vs VEG",-3.09002767185699,4.78594062473154e-07,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium",NA
"8112aada0285492d5e374b91ae970197","Base vs VEG",-2.05233451858251,0.000345405094516128,"Base","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"b73b8200705cb907a6275f7c535ea2bb","Base vs VEG",-1.96639328883993,0.000360461767248167,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"873a7f94ccffbc259f39407a63b9b6f1","Base vs VEG",-1.78968049940016,0.0155616594853057,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"ea53b50646135d623d822f1ec95a8df0","Base vs VEG",-1.78296827544075,0.00933474835109508,"Base","d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Megamonas",NA
"05a07cd73fd88135a55ba4c563d82024","Base vs VEG",-1.72575420225157,0.00126098782912402,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"dd994db157c0b52c34bea32d029f96fe","Base vs VEG",-1.6444857791423,0.00452979853225848,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_vadinBB60_group","f__Incertae_Sedis","g__Incertae_Sedis",NA
"f84d5a5360138a83a869b46ee8bcdd4a","Base vs VEG",-1.42526961228945,0.0348820941949865,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ventriosum_group",NA
"e2ca72018582597dab61ecf5c945e960","Base vs VEG",-1.4240440336621,0.0197430521128449,"Base","d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"0884f906d395c2d5aec4e6ca3b196924","Base vs VEG",-1.34290816458403,0.0172372118505496,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"76903c7d4f9086f98a6d334f6f8f2d77","Base vs VEG",2.61237880074315,0.00126098782912402,"VEG","d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae",NA,NA
"31760b17e6d0bd30b881d7b3958812b9","Base vs VEG",2.1323573194663,0.000204734439879811,"VEG","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"d2c7be73f5a78e204fee262781c6b47c","Base vs VEG",2.12206289748906,0.000204734439879811,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis",NA
