"contrast","estimate","SE","df","t.ratio","p.value","response"
"Base - VEG",-0.303416832169475,0.014622186303266,87.9999999999993,-20.7504422304963,3.56175533511305e-10,"Bray-Curtis - Fresh"
"Base - WO1",-0.320826303912985,0.014622186303266,87.9999999999993,-21.9410625236888,3.56175533511305e-10,"Bray-Curtis - Fresh"
"VEG - WO1",-0.0174094717435097,0.014622186303266,88.0000000000003,-1.19062029319249,0.461893406815376,"Bray-Curtis - Fresh"
"Base - VEG",-0.0295292405284768,0.00187493306849491,88.0000000000008,-15.7494904883092,3.56175533511305e-10,"Weighted UniFrac - Fresh"
"Base - WO1",-0.0296594220842421,0.00187493306849491,88.0000000000003,-15.8189231299073,3.56175533511305e-10,"Weighted UniFrac - Fresh"
"VEG - WO1",-0.000130181555765257,0.00187493306849491,87.9999999999998,-0.0694326415981127,0.997345739851717,"Weighted UniFrac - Fresh"
"Base - FERM",-0.337539596101963,0.0150912306083348,88.0000000000003,-22.3666051405737,3.56175533511305e-10,"Bray-Curtis - Fermented"
"Base - WO2",-0.356440372719442,0.0150912306083348,88.0000000000008,-23.6190395581512,3.56175533511305e-10,"Bray-Curtis - Fermented"
"FERM - WO2",-0.0189007766174785,0.0150912306083348,88.0000000000003,-1.25243441757756,0.425854511574449,"Bray-Curtis - Fermented"
"Base - FERM",-0.0306499893234728,0.00219578994540804,88.0000000000003,-13.9585252166629,3.56175644533607e-10,"Weighted UniFrac - Fermented"
"Base - WO2",-0.0345751359696788,0.00219578994540804,88.0000000000003,-15.74610360248,3.56175533511305e-10,"Weighted UniFrac - Fermented"
"FERM - WO2",-0.00392514664620594,0.00219578994540803,87.9999999999998,-1.78757838581711,0.179678620956472,"Weighted UniFrac - Fermented"
"Base - WO1",-0.320826303912984,0.0156384083223153,88.0000000000003,-20.5152786204705,3.56175533511305e-10,"Bray-Curtis - Washout"
"Base - WO2",-0.356440372719442,0.0156384083223153,88.0000000000003,-22.7926247590567,3.56175533511305e-10,"Bray-Curtis - Washout"
"WO1 - WO2",-0.0356140688064579,0.0156384083223153,88.0000000000003,-2.27734613858612,0.0643227319383445,"Bray-Curtis - Washout"
"Base - WO1",-0.0296594220842421,0.0021536627761298,88.0000000000008,-13.7716184785164,3.5617575555591e-10,"Weighted UniFrac - Washout"
"Base - WO2",-0.0345751359696787,0.0021536627761298,88.0000000000008,-16.0541085414548,3.56175533511305e-10,"Weighted UniFrac - Washout"
"WO1 - WO2",-0.00491571388543663,0.0021536627761298,88.0000000000003,-2.28249006293841,0.0635603231258036,"Weighted UniFrac - Washout"
