"taxon","period","emmean","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset"
"07b1149ccb783782ec4d38ecb1496c21","Base",-7.60341835973896,0.209375347954019,132,-8.01758349305426,-7.18925322642365,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"07b1149ccb783782ec4d38ecb1496c21","VEG",-7.96606710024781,0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"07b1149ccb783782ec4d38ecb1496c21","WO1",-7.96606710024781,0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","Base",-7.96606710024773,0.209431134288312,132,-8.3803425844463,-7.55179161604917,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","VEG",-7.60332173497367,0.209431134288312,132.000000000001,-8.01759721917223,-7.18904625077511,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","WO1",-7.96606710024781,0.209431134288312,132,-8.38034258444637,-7.55179161604924,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","Base",-7.61449478071876,0.202980373319671,132.000000000001,-8.01601002211573,-7.2129795393218,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","VEG",-7.96606710024781,0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","WO1",-7.96606710024781,0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"40d7269d78874c56c8621deb61732635","Base",-7.5126430151313,0.261784517599028,132.000000000002,-8.03047866622761,-6.994807364035,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh"
