"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"6f49d5f69e1738c2b1caa568169fe45f","VEG vs Base",1.8108762028799,0.00358127164700077,"VEG","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae",NA,NA
"693c4191f94283ce9354c456c57e08b0","VEG vs Base",1.17295306409677,0.0403481328095414,"VEG","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodospirillales","f__Incertae_Sedis","g__Incertae_Sedis",NA
"9b76d539d0e2dc10d7d4e79f881d9e26","VEG vs Base",2.0889994430378,0.000200902887196122,"VEG","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus",NA
"a721bc4969806bb221cdc5111b634e5b","VEG vs Base",-1.29103489853266,0.0172372118505496,"Base","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lacticaseibacillus",NA
"e2ca72018582597dab61ecf5c945e960","VEG vs Base",-1.4240440336621,0.0197430521128449,"Base","d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"703c0480cacefd1361843c961509cc5f","VEG vs Base",1.09149458716206,0.0342651935608151,"VEG","d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"724bff92640b4db16edc1d7c2fcc0fed","VEG vs Base",1.0758597657298,0.0440028772083612,"VEG","d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"dea139ff586a45dd73163a79b7a269ba","VEG vs Base",1.26679848248301,0.0172372118505496,"VEG","d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"76903c7d4f9086f98a6d334f6f8f2d77","VEG vs Base",2.61237880074315,0.00126098782912402,"VEG","d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae",NA,NA
"ea53b50646135d623d822f1ec95a8df0","VEG vs Base",-1.78296827544075,0.00933474835109508,"Base","d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Megamonas",NA
"dd994db157c0b52c34bea32d029f96fe","VEG vs Base",-1.6444857791423,0.00452979853225848,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_vadinBB60_group","f__Incertae_Sedis","g__Incertae_Sedis",NA
"8e5eac3879e8a0e1ac2dbb7c2adf5400","VEG vs Base",1.34016008143244,0.0172372118505496,"VEG","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Asteroleplasma",NA
"7f33face94935b421a69106a241a513e","VEG vs Base",-1.26197760836366,0.0172372118505496,"Base","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_UCG-014","f__Incertae_Sedis","g__Incertae_Sedis",NA
