"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"07b1149ccb783782ec4d38ecb1496c21",0.209375347954019,132,-8.01758349305426,-7.18925322642365,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh",-7.60341835973896,NA,NA,NA,NA,NA,NA
"07b1149ccb783782ec4d38ecb1496c21",0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh",NA,-7.96606710024781,NA,NA,NA,NA,NA
"07b1149ccb783782ec4d38ecb1496c21",0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"21f043fee5f7a162f8db10b08df45e9f",0.209431134288312,132,-8.3803425844463,-7.55179161604917,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh",-7.96606710024773,NA,NA,NA,NA,NA,NA
"21f043fee5f7a162f8db10b08df45e9f",0.209431134288312,132.000000000001,-8.01759721917223,-7.18904625077511,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh",NA,-7.60332173497367,NA,NA,NA,NA,NA
"21f043fee5f7a162f8db10b08df45e9f",0.209431134288312,132,-8.38034258444637,-7.55179161604924,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"38c12f1a7ba71962a0ab012df0f7d005",0.202980373319671,132.000000000001,-8.01601002211573,-7.2129795393218,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh",-7.61449478071876,NA,NA,NA,NA,NA,NA
"38c12f1a7ba71962a0ab012df0f7d005",0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh",NA,-7.96606710024781,NA,NA,NA,NA,NA
"38c12f1a7ba71962a0ab012df0f7d005",0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.261784517599028,132.000000000002,-8.03047866622761,-6.994807364035,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh",-7.5126430151313,NA,NA,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.261784517599028,132.000000000001,-8.48390275134411,-7.44823144915151,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh",NA,-7.96606710024781,NA,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.261784517599028,132,-8.48390275134411,-7.44823144915151,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"44652da714bef4c2fb956433cd678f60",0.207565308753731,132.000000000001,-8.37665179711711,-7.55548240337835,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh",-7.96606710024773,NA,NA,NA,NA,NA,NA
"44652da714bef4c2fb956433cd678f60",0.207565308753731,132.000000000001,-8.017138136467,-7.19596874272825,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh",NA,-7.60655343959762,NA,NA,NA,NA,NA
"44652da714bef4c2fb956433cd678f60",0.207565308753731,132,-8.37665179711719,-7.55548240337843,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"51fca4bbd97953662145c59b770d770c",0.194861165665279,132.000000000001,-8.3515217463862,-7.58061245410926,"f__Bacteroidaceae","g__Bacteroides","f__Bacteroidaceae_g__Bacteroides_51fca4bbd97953662145c59b770d770c","Fresh",-7.96606710024773,NA,NA,NA,NA,NA,NA
"51fca4bbd97953662145c59b770d770c",0.194861165665279,132,-8.01401230703192,-7.24310301475498,"f__Bacteroidaceae","g__Bacteroides","f__Bacteroidaceae_g__Bacteroides_51fca4bbd97953662145c59b770d770c","Fresh",NA,-7.62855766089345,NA,NA,NA,NA,NA
