sequence	16S_rRNA_Count	metadata_NSTI	best_domain	closest_reference_genome
512083fd9c306886b3463c01c7226b15	1	0.00015	bac	GCF_900095865.1
185faa99595fdb8f76ec6fb5e3f0574f	1	0.2172	bac	GCA_010206265.1
b88bccb9ec7283b7a7b6a10d6d827455	4	0.00015	bac	GCF_001697145.1
6761713c0256fe5ecf463f3794b582aa	1	0.085397	bac	GCF_000829905.1
8ef99245ceb67bcd7440da97c68e3eb1	1	0.00015	bac	GCF_000242435.1
c85448973412d4fe0e14bc69af2c8cc3	1	0.114279	bac	GCA_910575795.1
fb2adab69f6d928e0744f063257fc72f	1	0.207399	bac	GCF_000820765.1
46e30671206ca0cb6ec2ff6016fb9034	3	0.215941	bac	GCA_022009755.1
bb7ef5ea354035f7874026906c86773b	1	0.014969	bac	GCF_013304735.1
14c87d9ea835cbe4e1f50f4478fe6451	4	0.150379	bac	GCF_000296465.1
694edb8e02b24f14a0d78106eac36172	1	0.312172	bac	GCF_017168145.1
445f0833f5e09bad5ff99bdaa8d7b995	3	0.109656	bac	GCA_022009755.1
df7a649396fc25643901758b9c98d471	6	0.00015	bac	GCA_025151535.1
7d6105d9a4a29219f4e7b53f35204f08	1	0.059282	bac	GCA_944362615.1
4410fd15bc5c4cec78fdf10a6c9027dd	1	0.136725	bac	GCF_003471165.1
9d48af8d87a4b86d8e496e8eacb54ce6	1	0.00015	bac	GCA_900018345.1
baab0417a4a248f6e82b34d82c817aee	1	0.116085	bac	GCA_002841545.1
f9fb79f9b9ea0827e692adf3070084a8	1	0.130921	bac	GCA_934504065.1
f09ee25e51a55ebb1627bc9f1593b04d	1	0.338264	bac	GCF_900130065.1
8462b59aed6ed0c8c94372f9053e56f3	1	0.027933	bac	GCA_916988195.3
c8855a50c8bd1b5df94d1ebcc731e69a	1	0.087211	bac	GCA_015069485.1
0992f61ccd1d852fadad8515f4eafc2f	1	0.520901	bac	GCA_944390455.1
21cc3ed4e1c5334ee51cfafa467dc95d	3	0.15346	bac	GCA_900199405.1
9b60c00edcc18c4f0d551190a1619156	1	0.014296	bac	GCA_900169975.1
deabd3fbd7a2e2ab38209993b1ff7604	1	0.014184	bac	GCF_021531715.1
83d48ba0e21d3bb6a3844937f30c1383	1	0.079479	bac	GCF_000732725.1
de66fa5c945f673c285bdd0428d7653f	1	0.115466	bac	GCA_902362435.1
34d6d8ad28fa01c027a2f495e0cfda6a	1	0.174944	bac	GCA_022511125.1
1a58e014fcd8f928bfdc071721d82069	2	0.030923	bac	GCA_916438645.1
2482b556e7435563571c5b81cf455596	1	0.016464	bac	GCF_011752065.1
e6466a985b01bd1b3d9b99e2e5ed4bd2	1	0.005243	bac	GCF_014385005.1
fa79ed7c2defedcb9b3b54b99c23a780	1	0.126661	bac	GCA_003478355.1
b1a040383dff45a100039f44f0e7eb3c	3	0.014356	bac	GCF_003461625.1
e1162d59e3124d82bf7781d6726c09d8	1	0.014703	bac	GCF_900128485.1
9d6a9567a9c2f4935692e7c1932796b0	1	0.182971	bac	GCA_934278995.1
24784fdcda492ed9cb8a23a3851e99de	1	0.123189	bac	GCF_021531915.1
d6241c0f61b29bdcc8c4f857d748fb19	1	0.135062	bac	GCA_910574475.1
03b4a51fb9c66ad481f7fc533996c773	6	0.552335	bac	GCF_009931695.1
046ec8b3337d777c2996796b759036c0	1	0.143304	bac	GCF_015140235.1
